#Pathway_id	Type	Name	ECs	total_family	total_family_found	Count	Count_pct
ADENOSYLHOMOCYSCAT-PWY	"Methionine-Salvage;"	"L-methionine salvage from L-homocysteine;"	2.1.1.13	2	1	9	0.05
P41-PWY	"Pyruvate-Acetate-Fermentation; Pyruvate-Lactate-Fermentation; Super-Pathways;"	"pyruvate fermentation to acetate and (<i>S</i>)-lactate I;"	1.1.1.27+1.2.1.-+2.3.1.8+2.7.2.1	4	4	12	0.07
TCA-GLYOX-BYPASS	"Super-Pathways; TCA-VARIANTS;"	"superpathway of glyoxylate bypass and TCA;"	1.1.1.42+1.3.5.1+2.3.3.1+4.2.1.2+4.2.1.3+6.2.1.5	10	6	21	0.12
PWY-6109	"TRITERPENOID-SYN;"	"mangrove triterpenoid biosynthesis;"	5.4.99.-	2	1	5	0.03
GLUCONEO-PWY	"Gluconeogenesis;"	"gluconeogenesis I;"	1.1.1.40+1.2.1.12+2.7.2.3+2.7.9.2+3.1.3.11+4.1.1.49+4.1.2.13+4.2.1.11+5.3.1.9	13	9	31	0.17
GLYCOLATEMET-PWY	"Glycolate-Degradation;"	"glycolate and glyoxylate degradation I;"	1.1.1.60+2.7.1.31	4	2	2	0.01
PWY-5061	"ISOFLAVONOID-SYN;"	"6,7,4'-trihydroxyisoflavone biosynthesis;"	1.14.13.-+4.2.1.-	2	2	7	0.04
PWY-5354	""	""	2.7.7.-+2.8.1.-+3.6.1.-	4	3	75	0.41
PWY-6240	""	""	2.7.9.1	1	1	3	0.02
PWY-6537	"4-Aminobutyraye-Degradation;"	"4-aminobutanoate degradation II;"	1.2.1.-	2	1	5	0.03
1CMET2-PWY	"Folate-Biosynthesis;"	"<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis;"	1.5.1.20+1.5.1.3+1.5.1.5+2.1.1.13+2.1.1.45+2.1.2.1+3.5.1.10+3.5.4.9+6.3.2.12+6.3.4.3	10	10	28	0.15
PWY-5701	"QUINONE-SYN;"	"shikonin biosynthesis;"	1.14.13.-+2.5.1.-	2	2	11	0.06
PWY-6153	"Autoinducer-Biosynthesis;"	"autoinducer AI-2 biosynthesis I;"	2.1.1.-+3.2.2.9	3	2	29	0.16
PWY-5393	"POLYKETIDE-SYN;"	"raspberry ketone biosynthesis;"	1.3.1.-+2.3.1.-	2	2	27	0.15
PWY-5667	"CDP-diacylglycerol-Biosynthesis;"	"CDP-diacylglycerol biosynthesis I;"	1.1.1.94+2.7.7.41	4	2	5	0.03
GALACTUROCAT-PWY	"D-Galacturonate-Degradation;"	"D-galacturonate degradation I;"	1.1.1.58+2.7.1.45+4.2.1.7	4	3	4	0.02
PWY-621	"SUCROSE-DEG;"	"sucrose degradation III (sucrose invertase);"	2.7.1.4+2.7.7.9+3.2.1.26+5.3.1.9+5.4.2.2	8	5	22	0.12
GALACT-GLUCUROCAT-PWY	"Super-Pathways;"	"superpathway of hexuronide and hexuronate degradation;"	1.1.1.57+1.1.1.58+2.7.1.45+4.2.1.7+4.2.1.8	7	5	8	0.04
PWY-5816	"Polyprenyl-Biosynthesis;"	"all <i>trans</i> undecaprenyl diphosphate biosynthesis;"	2.5.1.-	1	1	6	0.03
PWY-5036	"GIBBERELLINS-BIOSYNTHESIS;"	"gibberellin biosynthesis II (early C-3 hydroxylation);"	1.14.11.-	1	1	1	0.01
PWY-5975	"SECONDARY-METABOLITE-BIOSYNTHESIS;"	"furaneol and mesifurane biosynthesis;"	2.1.1.-	1	1	26	0.14
PWY-6502	"Detoxification; Metabolic-Clusters;"	"oxidized GTP and dGTP detoxification;"	3.6.1.-	1	1	5	0.03
NAGLIPASYN-PWY	"Lipid-Biosynthesis; Lipopolysaccharide-Biosynthesis;"	"lipid IV<sub>A</sub> biosynthesis;"	2.3.1.129+2.3.1.191+2.4.1.182+2.7.1.130+3.5.1.108	6	5	12	0.07
PWY-6548	""	""	1.5.1.3+2.5.1.15+2.7.6.3+3.5.1.-+6.3.2.12	6	5	16	0.09
PWY-6228	"3-Chlorobenzoate-Degradation;"	"3-chlorobenzoate degradation III (via gentisate);"	1.14.13.24	1	1	1	0.01
PWY-4441	"Activation;"	"DIMBOA-glucoside activation;"	3.2.1.21	1	1	8	0.04
PWY-5698	"Allantoin-degradation;"	"allantoin degradation to ureidoglycolate II (ammonia producing);"	3.5.2.5+3.5.3.9	3	2	2	0.01
PWY-6471	"Antibiotic-Resistance; Peptidoglycan-Biosynthesis; Super-Pathways;"	"peptidoglycan biosynthesis IV (Enterococcus faecium);"	2.4.1.129+2.4.1.227+2.5.1.7+2.7.8.13+3.4.16.4+5.1.1.3+6.3.1.-+6.3.2.10+6.3.2.4+6.3.2.8+6.3.2.9	14	11	61	0.34
PWY-5469	"LIGNAN-SYN;"	"sesamin biosynthesis;"	1.-.-.-+1.14.13.-	2	2	36	0.20
ARGSYN-PWY	"ARGININE-SYN; Super-Pathways;"	"L-arginine biosynthesis I (via L-ornithine);"	1.2.1.38+2.1.3.3+2.3.1.1+2.6.1.11+2.7.2.8+3.5.1.16+4.3.2.1+6.3.4.5+6.3.5.5	9	9	34	0.19
PWY-5116	"FLAVANONES-SYN; FLAVONOID-PHYTOALEXINS;"	"sakuranetin biosynthesis;"	2.1.1.-	1	1	26	0.14
PWY-5084	"Respiration;"	"2-oxoglutarate decarboxylation to succinyl-CoA;"	1.2.4.2+1.8.1.4+2.3.1.61	3	3	11	0.06
PWY-5817	"Polyprenyl-Biosynthesis;"	"dodecaprenyl diphosphate biosynthesis;"	2.5.1.-	1	1	6	0.03
SOPHOROSYLOXYDOCOSANOATE-SYN-PWY	"Lipid-Biosynthesis;"	"sophorolipid biosynthesis;"	2.3.1.-	2	1	13	0.07
PWY-901	""	""	1.1.2.4	1	1	2	0.01
PWY-5063	"Phytyl-Diphosphate-Biosynthesis;"	"phytyl diphosphate biosynthesis;"	1.3.1.-	1	1	14	0.08
PWY-6002	"CYANOGENIC-GLUCOSIDE-DEG;"	"lotaustralin degradation;"	3.2.1.21	2	1	8	0.04
PWY-361	"LIGNIN-SYN; SECONDARY-CELL-WALL;"	"phenylpropanoid biosynthesis;"	1.1.1.195+1.14.13.-+3.1.2.-	10	3	9	0.05
PWY-6115	""	""	5.4.99.-	2	1	5	0.03
PWY-5005	"BIOTIN-SYN; Super-Pathways;"	"biotin biosynthesis II;"	2.3.1.47+2.6.1.62+2.8.1.6	5	3	5	0.03
PRPP-PWY	"Super-Pathways;"	"superpathway of histidine, purine, and pyrimidine biosynthesis;"	1.1.1.205+1.1.1.23+1.17.4.1+2.1.2.-+2.1.2.3+2.1.3.2+2.4.2.-+2.4.2.10+2.4.2.14+2.4.2.17+2.6.1.9+2.7.4.3+2.7.4.6+2.7.6.1+3.1.3.15+3.5.2.3+3.5.4.10+3.6.1.31+3.6.3.14+4.1.1.23+4.2.1.19+4.3.2.2+5.3.1.16+5.4.2.7+6.3.2.6+6.3.3.1+6.3.4.13+6.3.4.18+6.3.4.2+6.3.4.4+6.3.5.2+6.3.5.3+6.3.5.5	40	33	133	0.73
PWY-6171	""	""	3.6.3.-	1	1	44	0.24
PWY-5493	"CO2-Fixation;"	"reductive monocarboxylic acid cycle;"	2.3.1.54	2	1	1	0.01
PWY-1269	"CMP-KDO-Biosynthesis; CMP-Sugar-Biosynthesis;"	"CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis;"	2.5.1.55+2.7.7.38+5.3.1.13	4	3	6	0.03
PWY-5156	"Fatty-acid-biosynthesis; Super-Pathways;"	"superpathway of fatty acid biosynthesis II (plant);"	1.1.1.100+1.3.1.9+2.3.1.180+2.3.1.39+2.3.1.41+4.2.1.59+6.4.1.2	12	7	14	0.08
PWY-5851	"Demethylmenaquinone-Biosynthesis;"	"demethylmenaquinol-9 biosynthesis;"	2.5.1.74	1	1	1	0.01
PWY-3801	"SUCROSE-DEG;"	"sucrose degradation II (sucrose synthase);"	1.1.1.1+1.1.1.27+1.2.1.12+2.7.1.11+2.7.1.4+2.7.1.40+2.7.2.3+2.7.7.9+4.1.2.13+4.2.1.11+5.3.1.1+5.3.1.9+5.4.2.2	16	13	55	0.30
HYDROXYPRODEG-PWY	"Hydroxyprolines-Degradation;"	"<i>trans</i>-4-hydroxy-L-proline degradation I;"	4.1.3.16	4	1	1	0.01
PWY66-368	"OTHER-ENERGY;"	"ketolysis;"	2.3.1.9+2.8.3.5	3	2	5	0.03
PWY-6507	"Sugar-Derivatives;"	"4-deoxy-L-<i>threo</i>-hex-4-enopyranuronate degradation;"	1.1.1.127+2.7.1.45+4.1.2.14+5.3.1.17	4	4	4	0.02
PWY-5723	"Energy-Metabolism;"	"Rubisco shunt;"	2.2.1.2+2.7.1.40+4.2.1.11+5.1.3.1+5.3.1.6	9	5	19	0.10
PWY-5176	"COUMARIN-SYN;"	"coumarin biosynthesis (via 2-coumarate);"	3.2.1.21	4	1	8	0.04
PWY-6427	"Rotenoids-Biosynthesis;"	"rot-2'-enonate biosynthesis;"	2.1.1.-	2	1	26	0.14
PWY-2681	"CYTOKININ-BIOSYNTHESIS;"	"<i>trans</i>-zeatin biosynthesis;"	2.5.1.-+3.2.2.-	3	2	7	0.04
PWY-2821	"GLUCOSINOLATE-SYN;"	"glucosinolate biosynthesis from phenylalanine;"	1.-.-.-+1.14.13.-	4	2	36	0.20
PWY-6438	"POLYKETIDE-SYN;"	"phenylphenalenone biosynthesis;"	2.3.1.-	1	1	13	0.07
FASYN-INITIAL-PWY	"Fatty-acid-biosynthesis; Super-Pathways;"	"superpathway of fatty acid biosynthesis initiation (E. coli);"	2.3.1.-+2.3.1.180+2.3.1.39+2.3.1.41+6.4.1.2	6	5	21	0.12
REDCITCYC	"TCA-VARIANTS;"	"TCA cycle VIII (Helicobacter);"	1.1.1.42+2.3.3.1+2.8.3.5+4.2.1.2+4.2.1.3	8	5	17	0.09
PWY-5194	"Porphyrin-Compounds-Biosynthesis;"	"siroheme biosynthesis;"	1.3.1.76+2.1.1.107+4.99.1.4	3	3	4	0.02
PWY-6018	""	""	3.4.11.1	1	1	7	0.04
PWY-5996	"Oleate-Biosynthesis;"	"oleate biosynthesis II (animals and fungi);"	3.1.2.-	2	1	3	0.02
PWY-5990	"CYANOGENIC-GLUCOSIDE-SYN;"	"lotaustralin biosynthesis;"	1.14.13.-	2	1	5	0.03
LARABITOLUTIL-PWY	"SUGAR-ALCOHOLS-DEG;"	"xylitol degradation;"	1.1.1.9+2.7.1.17	2	2	2	0.01
ARGININE-SYN4-PWY	"L-Ornithine-Biosynthesis;"	"L-ornithine biosynthesis II;"	2.1.3.3+4.3.2.1+6.3.4.5	5	3	11	0.06
PWY-5381	"NAD-Metabolism;"	"pyridine nucleotide cycling (plants);"	2.4.2.-+2.7.1.-+2.7.7.18+3.1.3.5+3.2.2.-+3.5.1.19+6.3.5.1	10	7	30	0.16
FOLSYN-PWY	"Folate-Biosynthesis; Super-Pathways;"	"superpathway of tetrahydrofolate biosynthesis and salvage;"	1.5.1.3+2.1.2.2+2.5.1.15+2.7.6.3+3.5.4.16+3.5.4.9+3.6.1.-+6.3.2.12	11	8	18	0.10
PWY-5692	"Allantoin-degradation; Super-Pathways;"	"allantoin degradation to glyoxylate II;"	3.5.2.5+3.5.3.9	4	2	2	0.01
PWY-6008	"TRITERPENOID-SYN;"	"baruol biosynthesis;"	5.4.99.-	1	1	5	0.03
PWY-2724	"Fatty-Acid-Degradation;"	"alkane oxidation;"	1.2.1.3	1	1	1	0.01
PWY-5153	"ANTHOCYANIN-SYN;"	"anthocyanin biosynthesis (delphinidin 3-O-glucoside);"	1.14.11.-	2	1	1	0.01
PWY-6312	"POLYKETIDE-SYN;"	"barbaloin biosynthesis;"	2.3.1.-	1	1	13	0.07
PWY0-1433	"Cofactor-Biosynthesis;"	"tetrahydromonapterin biosynthesis;"	1.5.1.-	2	1	1	0.01
PWY-5100	"Pyruvate-Acetate-Fermentation; Pyruvate-Lactate-Fermentation; Super-Pathways;"	"pyruvate fermentation to acetate and lactate II;"	1.1.1.27+2.3.1.8+2.7.2.1	4	3	7	0.04
SERSYN-PWY	"SERINE-BIOSYNTHESIS;"	"L-serine biosynthesis I;"	1.1.1.95+2.6.1.52+3.1.3.3	3	3	6	0.03
PWY-6422	"D-Amino-Acid-Degradation;"	"D-arginine degradation;"	1.4.1.-+1.4.99.-	2	2	2	0.01
CENTBENZCOA-PWY	"Benzoyl-CoA-Degradation;"	"benzoyl-CoA degradation II (anaerobic);"	1.1.1.-+2.3.1.-+4.2.1.-	6	3	27	0.15
PWY-5433	"FATTY-ACID-DERIVATIVE-SYN; Super-Pathways;"	"superpathway of lipoxygenase;"	1.3.1.42+6.2.1.-	11	2	2	0.01
PWY-6146	"Biosynthesis; Super-Pathways;"	"<i>Methanobacterium thermoautotrophicum</i> biosynthetic metabolism;"	1.1.1.34+1.5.1.5+2.1.1.-+2.3.1.9+2.3.3.10+2.5.1.10+2.6.1.1+2.6.1.2+2.7.1.40+2.7.4.2+3.5.4.9+4.1.2.13+4.2.1.1+4.2.1.11+4.2.1.2+5.3.1.1+5.3.1.9+5.3.3.2+6.2.1.5+6.3.4.3+6.4.1.1	39	21	92	0.51
PWY-5161	"CHALCONE-SYN;"	"6'-deoxychalcone metabolism;"	1.14.13.-+2.4.1.-	2	2	17	0.09
PWY-5384	"SUCROSE-DEG;"	"sucrose degradation IV (sucrose phosphorylase);"	2.7.1.4+5.3.1.9+5.4.2.2	5	3	15	0.08
PWY-5083	"NAD-Metabolism;"	"NAD/NADH phosphorylation and dephosphorylation;"	1.6.1.1+2.7.1.23+3.1.3.-	5	3	10	0.05
PWY-5367	"Unsaturated-Fatty-Acids-Biosynthesis;"	"petroselinate biosynthesis;"	1.1.1.100+1.3.1.-+4.2.1.-	5	3	17	0.09
PWY-5305	"APOCAROTENOID-SYN;"	"bixin biosynthesis;"	1.13.12.-+1.2.1.-+2.1.1.-	3	3	37	0.20
PWY-3341	"PROLINE-SYN;"	"L-proline biosynthesis III;"	1.5.1.2	2	1	1	0.01
PWY-6515	"FLAVONOID-SYN;"	"phloridzin biosynthesis;"	2.3.1.-	1	1	13	0.07
PWY-5897	"Menaquinone-Biosynthesis; Super-Pathways;"	"superpathway of menaquinol-11 biosynthesis;"	2.1.1.163+2.5.1.-+2.5.1.74+3.1.2.-+6.2.1.26	10	5	15	0.08
XYLCAT-PWY	"Xylose-Degradation;"	"D-xylose degradation I;"	2.7.1.17	2	1	1	0.01
PWY-5107	"DITERPENOID-SYN;"	"phytol salvage pathway;"	2.7.1.-	2	1	10	0.05
ASPASN-PWY	"Amino-Acid-Biosynthesis; Metabolic-Clusters; Super-Pathways;"	"superpathway of L-aspartate and L-asparagine biosynthesis;"	2.6.1.1+3.5.1.1+6.3.1.1	4	3	14	0.08
RHAMCAT-PWY	"L-rhamnose-Degradation;"	"L-rhamnose degradation I;"	2.7.1.5+4.1.2.19	3	2	3	0.02
MANNCAT-PWY	"Sugars-And-Polysaccharides-Degradation;"	"D-mannose degradation;"	5.3.1.8	1	1	4	0.02
PWY-5173	"Acetyl-CoA-Biosynthesis; Super-Pathways;"	"superpathway of acetyl-CoA biosynthesis;"	1.2.4.1+1.8.1.4+2.3.1.12	4	3	12	0.07
PWY-981	"Salicylate-Biosynthesis;"	"salicylate biosynthesis II;"	3.1.2.-	1	1	3	0.02
PWY-6077	"2-Aminobenzoate-Degradation;"	"anthranilate degradation II (aerobic);"	6.2.1.32	2	1	1	0.01
PWY-4302	"AEROBIC-RESPIRATION; Electron-Transfer;"	"aerobic respiration III (alternative oxidase pathway);"	1.-.-.-+1.3.5.1	3	2	35	0.19
HISTSYN-PWY	"HISTIDINE-SYN;"	"L-histidine biosynthesis;"	1.1.1.23+2.4.2.-+2.4.2.17+2.6.1.9+3.1.3.15+3.6.1.31+4.2.1.19+5.3.1.16	9	8	23	0.13
P185-PWY	"Formaldehyde-Assimilation;"	"formaldehyde assimilation III (dihydroxyacetone cycle);"	1.2.1.12+2.2.1.2+2.7.1.29+2.7.2.3+3.1.3.11+4.1.2.13+5.1.3.1+5.3.1.1+5.3.1.6	11	9	18	0.10
GLYSYN-PWY	"GLYCINE-SYN;"	"glycine biosynthesis I;"	2.1.2.1	1	1	2	0.01
PWY-5989	"Stearate-Biosynthesis;"	"stearate biosynthesis II (bacteria and plants);"	1.1.1.100+1.3.1.9+2.3.1.41+4.2.1.59	5	4	10	0.05
PWY-5159	"Hydroxyprolines-Degradation;"	"<i>trans</i>-4-hydroxy-L-proline degradation II;"	1.2.1.26+5.1.1.8	3	2	5	0.03
PWY0-1353	"AEROBIC-RESPIRATION; Electron-Transfer;"	"succinate to cytochrome <i>bd</i> oxidase electron transfer;"	1.3.5.1	2	1	4	0.02
ALANINE-SYN2-PWY	"ALANINE-SYN;"	"L-alanine biosynthesis II;"	2.6.1.2	1	1	3	0.02
PWY-5268	"ANTHOCYANIN-SYN;"	"salvianin biosynthesis;"	2.3.1.-+2.4.1.-	3	2	25	0.14
PWY-5825	"ISOFLAVONOID-SYN;"	"dalpatein and dalnigrein biosynthesis;"	3.2.1.-	1	1	4	0.02
PWY-5805	"Polyprenyl-Biosynthesis;"	"nonaprenyl diphosphate biosynthesis I;"	2.5.1.-	1	1	6	0.03
PWY-922	"Mevalonate-Pathways;"	"mevalonate pathway I;"	1.1.1.34+2.3.1.9+2.3.3.10+2.7.4.2+5.3.3.2	7	5	7	0.04
PWY-2881	"CYTOKININ-BIOSYNTHESIS; Metabolic-Clusters;"	"cytokinins 7-<i>N</i>-glucoside biosynthesis;"	2.4.1.-	1	1	12	0.07
PWY0-881	"Fatty-acid-biosynthesis; Super-Pathways;"	"superpathway of fatty acid biosynthesis I (E. coli);"	1.1.1.100+1.3.1.9+2.3.1.-+2.3.1.180+2.3.1.39+2.3.1.41+4.2.1.-+4.2.1.59+6.4.1.2	13	9	29	0.16
PWY-5898	"Menaquinone-Biosynthesis; Super-Pathways;"	"superpathway of menaquinol-12 biosynthesis;"	2.1.1.163+2.5.1.-+2.5.1.74+3.1.2.-+6.2.1.26	10	5	15	0.08
PWY0-1329	"AEROBIC-RESPIRATION; Electron-Transfer;"	"succinate to cytochrome <i>bo</i> oxidase electron transfer;"	1.3.5.1	2	1	4	0.02
RIBOSYN2-PWY	"Flavin-Biosynthesis;"	"flavin biosynthesis I (bacteria and plants);"	2.5.1.78+2.5.1.9+3.5.4.25+4.1.99.12	8	4	7	0.04
PWY-5838	"Menaquinone-Biosynthesis; Super-Pathways;"	"superpathway of menaquinol-8 biosynthesis I;"	2.1.1.163+2.5.1.-+2.5.1.74+3.1.2.-+6.2.1.26	10	5	15	0.08
PWY-6120	"TYROSINE-SYN;"	"L-tyrosine biosynthesis III;"	1.3.1.43+5.4.99.5	3	2	3	0.02
PROSYN-PWY	"PROLINE-SYN;"	"L-proline biosynthesis I;"	1.2.1.41+1.5.1.2+2.7.2.11	3	3	10	0.05
PWY-5070	"GIBBERELLINS-BIOSYNTHESIS;"	"gibberellin biosynthesis I (non C-3, non C-13 hydroxylation);"	1.14.11.-	1	1	1	0.01
PWY0-1415	"Heme-b-Biosynthesis; Super-Pathways;"	"superpathway of heme <i>b</i> biosynthesis from uroporphyrinogen-III;"	1.3.3.3+1.3.99.22+4.1.1.37+4.99.1.1	6	4	8	0.04
PWY-6520	"Polyprenyl-Biosynthesis;"	"nonaprenyl diphosphate biosynthesis II;"	2.5.1.-	1	1	6	0.03
PWY-5467	"INDOLE-ALKALOIDS;"	"gramine biosynthesis;"	2.1.1.-	1	1	26	0.14
PWY66-161	"Ethanol-Degradation;"	"ethanol degradation III;"	1.2.1.3+6.2.1.1	2	2	3	0.02
PWY-5104	"ISOLEUCINE-SYN;"	"L-isoleucine biosynthesis IV;"	1.1.1.86+2.2.1.6+2.6.1.42+4.2.1.9	6	4	21	0.12
PWY-5121	"DITERPENOID-SYN; GGPP-Biosynthesis; Super-Pathways;"	"superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP);"	1.1.1.267+2.2.1.7+2.5.1.10+2.7.1.148+2.7.7.60+4.6.1.12+5.3.3.2	11	7	14	0.08
PWY-6321	"Sulfur-Metabolism;"	"homotaurine degradation;"	2.6.1.-	1	1	3	0.02
KDO-NAGLIPASYN-PWY	"Lipid-Biosynthesis; Lipopolysaccharide-Biosynthesis; Super-Pathways;"	"superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis;"	2.3.1.-+2.3.1.129+2.3.1.191+2.4.1.182+2.4.99.12+2.5.1.55+2.7.1.130+2.7.7.38+3.5.1.108+5.3.1.13	13	10	31	0.17
GLUCARGALACTSUPER-PWY	"Super-Pathways;"	"superpathway of D-glucarate and D-galactarate degradation;"	1.1.1.60+4.1.2.20+4.2.1.40+4.2.1.42	5	4	7	0.04
PWY-5505	"GLUTAMATE-SYN; GLUTAMINE-SYN; Metabolic-Clusters; Super-Pathways;"	"L-glutamate and L-glutamine biosynthesis;"	1.4.1.13+1.4.7.1+6.3.1.2	6	3	17	0.09
PWY-83	"LIGNIN-SYN; Metabolic-Clusters;"	"monolignol glucosides biosynthesis;"	2.4.1.-	2	1	12	0.07
PWY-5386	"Methylglyoxal-Detoxification;"	"methylglyoxal degradation I;"	1.1.2.4+3.1.2.6+4.4.1.5	3	3	11	0.06
4TOLCARBDEG-PWY	"AROMATIC-COMPOUNDS-DEGRADATION;"	"4-toluenecarboxylate degradation;"	1.1.1.-+1.2.1.-	4	2	17	0.09
PWY-5459	"Methylglyoxal-Detoxification; Super-Pathways;"	"methylglyoxal degradation IV;"	1.2.1.22	2	1	2	0.01
PWY-3641	"CARN-DEG;"	"L-carnitine degradation III;"	1.2.1.5	1	1	1	0.01
COLANSYN-PWY	"Carbohydrates-Biosynthesis; Super-Pathways;"	"colanic acid building blocks biosynthesis;"	1.1.1.22+1.1.1.271+2.7.1.6+2.7.7.13+2.7.7.9+5.1.3.2+5.3.1.8+5.3.1.9+5.4.2.8	11	9	25	0.14
PWY0-1325	"ASPARAGINE-SYN; Super-Pathways;"	"superpathway of L-asparagine biosynthesis;"	6.3.1.1+6.3.5.4	2	2	3	0.02
PWY-241	"Photosynthesis;"	"C4 photosynthetic carbon assimilation cycle, NADP-ME type;"	1.1.1.40+2.7.9.1	4	2	8	0.04
ETOH-ACETYLCOA-ANA-PWY	"Ethanol-Degradation;"	"ethanol degradation I;"	1.1.1.1+1.2.1.10	2	2	9	0.05
PWY-5328	"METHIONINE-DEG; Super-Pathways;"	"superpathway of L-methionine salvage and degradation;"	2.1.1.-+2.1.1.13+2.5.1.6+2.6.1.1+3.3.1.1+4.4.1.1+5.4.99.2+6.4.1.3	13	8	57	0.31
P124-PWY	"Acetate-Formation; Fermentation-to-Lactate; Sugars-And-Polysaccharides-Degradation;"	"Bifidobacterium shunt;"	1.1.1.27+1.2.1.12+2.2.1.2+2.7.1.2+2.7.1.40+2.7.2.1+2.7.2.3+4.2.1.11+5.1.3.1+5.3.1.6+5.3.1.9	15	11	38	0.21
PWY-6412	"Ginsenoside-Degradation;"	"ginsenoside degradation II;"	2.3.1.-	1	1	13	0.07
URSIN-PWY	"Polyamine-Biosynthesis; Super-Pathways;"	"ureide biosynthesis;"	1.1.1.205+2.4.2.1+3.1.3.5	6	3	15	0.08
PROPIONMET-PWY	"Propionate-Degradation;"	"propanoyl CoA degradation I;"	5.4.99.2+6.4.1.3	3	2	4	0.02
PWY-3781	"AEROBIC-RESPIRATION; Electron-Transfer;"	"aerobic respiration I (cytochrome c);"	1.10.2.2+1.3.5.1+1.9.3.1	4	3	10	0.05
PWY-6088	"3-Chlorobenzoate-Degradation;"	"3-chlorobenzoate degradation I (via chlorocatechol);"	1.3.1.-	2	1	14	0.08
PWY-2221	"Entner-Duodoroff-Pathways;"	"Entner-Doudoroff pathway III (semi-phosphorylative);"	1.2.1.3+2.7.1.40+2.7.1.45+4.1.2.14+4.2.1.11+5.1.3.3	10	6	18	0.10
PWY-4242	""	""	2.7.1.24+2.7.1.33+4.1.1.36+6.3.2.1+6.3.2.5	7	5	10	0.05
DHGLUCONATE-PYR-CAT-PWY	"SUGAR-ACIDS-DEG; Sugars-And-Polysaccharides-Degradation;"	"glucose degradation (oxidative);"	1.1.99.3	5	1	9	0.05
PWY-6055	"Dimethylsulfoniopropionate-Biosynthesis;"	"dimethylsulfoniopropanoate biosynthesis II (Spartina);"	1.2.1.3	2	1	1	0.01
PWY-5342	"Glycan-Pathways; Oligosaccharides-Biosynthesis;"	"ajugose biosynthesis I (galactinol-dependent);"	2.4.1.-	1	1	12	0.07
PWY-5629	"Antibiotic-Biosynthesis;"	"isopenicillin N biosynthesis;"	6.3.2.26	2	1	4	0.02
PWY-6292	"CYSTEINE-SYN; Super-Pathways;"	"superpathway of L-cysteine biosynthesis (mammalian);"	2.1.1.-+2.5.1.6+3.3.1.1+4.4.1.1	5	4	33	0.18
PWY4FS-7	"PhosphatidylglycerolBiosynthesis; Super-Pathways;"	"phosphatidylglycerol biosynthesis I (plastidic);"	1.1.1.94+2.7.7.41+2.7.8.5+3.1.3.27	6	4	8	0.04
ARABCAT-PWY	"L-Arabinose-Degradation;"	"L-arabinose degradation I;"	2.7.1.16+5.1.3.4+5.3.1.4	3	3	7	0.04
PWY-5991	"Super-Pathways;"	"superpathway of linamarin and lotaustralin biosynthesis;"	1.14.13.-	2	1	5	0.03
PWY0-166	"Pyrimid-Deoxyribonucleot-De-Novo-Biosyn; Super-Pathways;"	"superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>);"	1.17.4.1+2.1.1.45+2.7.4.6+2.7.4.9+3.5.4.13+3.6.1.23	7	6	41	0.23
HOMOSER-METSYN-PWY	"Methionine-De-novo-Biosynthesis;"	"L-methionine biosynthesis I;"	2.1.1.13+2.1.1.14+2.3.1.46	5	3	12	0.07
PWY-2161	"Folate-Biosynthesis;"	"folate polyglutamylation;"	2.1.2.1+6.3.4.3	3	2	6	0.03
PWY0-1317	"Lactaldehyde-Degradation;"	"L-lactaldehyde degradation (aerobic);"	1.2.1.22	1	1	2	0.01
ACETATEUTIL-PWY	"CARBOXYLATES-DEG; Super-Pathways;"	"superpathway of acetate utilization and formation;"	2.3.1.8+2.7.2.1+6.2.1.1	3	3	7	0.04
PWY-5484	"GLYCOLYSIS-VARIANTS;"	"glycolysis II (from fructose 6-phosphate);"	1.2.1.12+2.7.1.11+2.7.1.40+2.7.2.3+2.7.9.2+3.1.3.11+4.1.2.13+4.2.1.11+5.3.1.1	10	9	29	0.16
PWY-5101	"ISOLEUCINE-SYN;"	"L-isoleucine biosynthesis II;"	1.1.1.86+2.2.1.6+2.6.1.42+4.2.1.9	6	4	21	0.12
COA-PWY	"CoA-Biosynthesis;"	"coenzyme A biosynthesis I (prokaryotic);"	2.7.1.24+2.7.1.33+4.1.1.36+6.3.2.5	5	4	7	0.04
PWY-5694	"Allantoin-degradation; Super-Pathways;"	"allantoin degradation to glyoxylate I;"	3.5.2.5+4.3.2.3	3	2	2	0.01
PWY-6559	"Spermidine-Biosynthesis;"	"spermidine biosynthesis II;"	1.2.1.11+1.5.1.-+2.7.2.4	3	3	6	0.03
PWY-5992	"TRITERPENOID-SYN;"	"thalianol and derivatives biosynthesis;"	1.14.13.-+5.4.99.-	3	2	10	0.05
PWY-5079	"PHENYLALANINE-DEG;"	"L-phenylalanine degradation III;"	1.1.1.1+2.6.1.57	4	2	10	0.05
PHESYN	"PHENYLALANINE-SYN;"	"L-phenylalanine biosynthesis I;"	2.6.1.57+4.2.1.51+5.4.99.5	3	3	7	0.04
